city,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
antalaha,-14.9003,50.2788,302.5,62,56,2.12,MG,1612680077
sydney,-33.8679,151.2073,297.59,81,0,2.68,AU,1612680036
puerto ayora,-0.7393,-90.3518,298.15,95,46,0.45,EC,1612680131
kiunga,-6.1219,141.2906,305.89,56,80,2.89,PG,1612680350
touros,-5.1989,-35.4608,296.15,94,20,1.54,BR,1612680350
hithadhoo,-0.6,73.0833,300.92,73,44,4.98,MV,1612680259
dossor,47.5272,52.9811,270.49,86,88,6.94,KZ,1612680350
hobart,-42.8794,147.3294,291.15,36,20,7.72,AU,1612680227
bethel,41.3712,-73.414,270.93,79,1,1.03,US,1612680351
emba,48.8264,58.1442,264.79,93,99,5.95,KZ,1612680351
bredasdorp,-34.5322,20.0403,292.15,88,100,1.03,ZA,1612680256
sinnamary,5.3833,-52.95,298.2,87,100,6.07,GF,1612680352
manitouwadge,49.1215,-85.8403,252.15,77,100,1.54,CA,1612680352
ilulissat,69.2167,-51.1,271.15,40,0,11.32,GL,1612680216
taoudenni,22.6783,-3.9836,284.75,46,14,3.28,ML,1612680352
ushuaia,-54.8,-68.3,280.15,81,75,3.6,AR,1612680353
altinopolis,-21.0256,-47.3739,293.15,88,0,3.09,BR,1612680354
new norfolk,-42.7826,147.0587,291.15,36,20,7.72,AU,1612680354
saint anthony,45.0205,-93.218,250.15,64,1,3.09,US,1612680354
narsaq,60.9167,-46.05,279.15,33,75,10.8,GL,1612680355
aginskoye,51.1,114.53,258.84,88,1,2.0,RU,1612680150
lebu,-37.6167,-73.65,287.43,92,95,1.96,CL,1612680356
kaeo,-35.1,173.7833,293.71,68,28,4.02,NZ,1612680356
castro,-24.7911,-50.0119,287.52,89,95,3.42,BR,1612680356
upernavik,72.7868,-56.1549,266.77,78,100,3.11,GL,1612680262
abu samrah,35.3029,37.1841,286.47,68,0,3.75,SY,1612680357
longyearbyen,78.2186,15.6401,266.15,73,75,6.69,SJ,1612680357
esperance,-33.8667,121.9,293.15,73,90,9.26,AU,1612680358
vaini,-21.2,-175.2,299.15,94,75,4.63,TO,1612680358
wanning,18.8003,110.3967,297.06,70,0,4.7,CN,1612680359
ribeira grande,38.5167,-28.7,289.29,89,100,8.95,PT,1612680359
mataura,-46.1927,168.8643,294.41,66,0,1.59,NZ,1612680360
port alfred,-33.5906,26.891,295.37,81,29,2.68,ZA,1612680360
karratha,-20.7377,116.8463,302.4,50,0,6.54,AU,1612680360
kankaanpaa,61.8,22.4167,265.37,86,0,2.57,FI,1612680360
olafsvik,64.8945,-23.7142,274.07,85,0,6.9,IS,1612680353
busselton,-33.65,115.3333,289.82,93,100,1.34,AU,1612680259
torbay,47.6666,-52.7314,275.37,93,90,10.29,CA,1612680192
san cristobal,7.7669,-72.225,291.26,87,89,1.08,VE,1612680362
egvekinot,66.3167,-179.1667,252.81,73,0,4.94,RU,1612680362
rikitea,-23.1203,-134.9692,298.39,76,16,5.88,PF,1612680261
sur,22.5667,59.5289,296.67,46,0,3.35,OM,1612680362
punta arenas,-53.15,-70.9167,281.15,81,0,4.63,CL,1612680360
hasaki,35.7333,140.8333,290.37,29,20,3.09,JP,1612680363
laguna,38.421,-121.4238,281.48,76,1,0.63,US,1612680332
saskylakh,71.9167,114.0833,232.82,78,20,3.92,RU,1612680125
moron,-34.6534,-58.6198,295.93,91,0,0.89,AR,1612680364
jamestown,42.097,-79.2353,264.15,57,20,3.6,US,1612680141
champerico,14.3,-91.9167,289.82,95,0,2.59,GT,1612680365
samarai,-10.6167,150.6667,303.47,67,100,2.77,PG,1612680365
hornepayne,49.2138,-84.7705,248.48,89,97,2.44,CA,1612680365
jojoima,7.8792,-10.7878,293.92,88,96,0.27,SL,1612680425
cecina,43.3128,10.524,289.82,75,99,2.03,IT,1612680426
poum,-20.2333,164.0167,300.47,68,4,2.42,NC,1612680426
dikson,73.5069,80.5464,240.22,87,91,4.6,RU,1612680403
kapaa,22.0752,-159.319,292.15,68,75,2.06,US,1612680257
alvaraes,-3.2208,-64.8042,298.15,94,75,0.94,BR,1612680427
tasiilaq,65.6145,-37.6368,273.15,59,40,7.72,GL,1612680260
starkville,33.4504,-88.8184,277.04,93,90,2.57,US,1612680427
new plymouth,-39.0667,174.0833,290.37,71,11,2.68,NZ,1612680427
avarua,-21.2078,-159.775,299.15,89,7,1.54,CK,1612680427
ponta do sol,32.6667,-17.1,285.37,66,85,1.34,PT,1612680428
airai,-8.9266,125.4092,293.59,98,100,1.46,TL,1612680244
beringovskiy,63.05,179.3167,250.33,90,96,5.26,RU,1612680428
tuktoyaktuk,69.4541,-133.0374,246.15,76,90,10.8,CA,1612680363
ostrovnoy,68.0531,39.5131,260.02,90,100,6.6,RU,1612680429
nikki,9.9401,3.2108,294.45,24,76,1.98,BJ,1612680429
uturoa,-16.7333,-151.4333,301.33,66,61,3.5,PF,1612680429
coahuayana,18.7333,-103.6833,293.65,88,16,1.01,MX,1612680429
chuy,-33.6971,-53.4616,290.75,88,0,2.25,UY,1612680430
yumen,40.2833,97.2,279.76,39,100,1.05,CN,1612680430
chokurdakh,70.6333,147.9167,240.86,85,0,2.4,RU,1612680430
butaritari,3.0707,172.7902,300.65,79,100,8.69,KI,1612680202
faanui,-16.4833,-151.75,301.27,67,36,3.6,PF,1612680430
mount isa,-20.7333,139.5,302.15,70,75,3.6,AU,1612680431
the valley,18.217,-63.0578,298.15,69,20,7.2,AI,1612680431
port elizabeth,-33.918,25.5701,297.15,69,20,7.72,ZA,1612680146
kalabo,-14.97,22.6814,296.17,84,100,2.94,ZM,1612680431
ciudad bolivar,8.1222,-63.5497,297.23,76,100,4.87,VE,1612680432
hirado,33.3597,129.5531,288.15,58,20,3.09,JP,1612680432
gamba,-2.65,10.0,299.68,86,99,0.51,GA,1612680432
gold coast,-28.0,153.4333,302.59,65,40,3.6,AU,1612680372
